Plant Name,Forecasting Agency,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Transmission,Region,AVC (MW),Plant Type,Access Type
Khavda PSS 1,AGEL,0.43,3.54,4.16,8.35,6.41,2.62,0.5,1.49,0.44,CTU,WR,1000,Solar,STOA
Khavda PSS 2,AGEL,0.42,4.27,3.77,7.98,5.05,2.93,0.59,1.36,0.24,CTU,WR,1250,Solar,STOA
ARE56L 225 MW Khavda PSS4 - Solar,AGEL,4.26,11.7,3.84,7.49,4.39,2.27,0.57,0.93,0.22,CTU,WR,225,Solar,STOA
ARE45L 250MW Khavda PSS 5 Solar,AGEL,32.75,23.36,14.81,21.13,14.68,11.17,0.72,1.44,0.67,CTU,WR,250,Solar,STOA
ARE57L 1200MW Khavda PSS 13 - Solar,AGEL,4.11,5.92,4.35,8.94,5.67,4.53,1.01,1.67,0.7,CTU,WR,1200,Solar,STOA
ARE56L 500MW Khavda PSS 10 - Solar,AGEL,10.85,6.79,14.81,19.21,14.82,9.29,0.72,1.42,0.36,CTU,WR,500,Solar,STOA
ASERJ1PL,Energy Meteo,0.11,0.13,0.82,2.66,3.1,1.22,0.28,0.01,0.55,CTU,NR,300,Solar,LTA
ASEJ2PL PPA,Energy Meteo,1.72,1.46,4.6,7.88,2.74,1.2,0.32,0.04,1.45,CTU,NR,150,Solar,LTA
ASEJ2PL P2,Energy Meteo,1.91,1.26,4.44,8.43,2.37,0.45,0.17,0.03,1.63,CTU,NR,150,Solar,LTA
ARERJL,Energy Meteo,0.02,0.39,2.35,2.59,4.04,1.19,0.11,0.01,1.04,CTU,NR,200,Solar,LTA
ASE4L 50MW,Energy Meteo,0.06,0.59,2.27,2.72,4.1,1,0.1,0,0.77,CTU,NR,50,Solar,LTA
ASEJ2L,Energy Meteo,0.03,0.33,2.08,2.46,2.34,0.54,0.08,0.01,0.77,CTU,NR,50,Solar,LTA
ASEJ5L,Energy Meteo,0.06,0.59,1.89,2.01,3.89,0.66,0.64,0.02,0.84,CTU,NR,200,Solar,LTA
ASERJ2PL_180MW,AGEL,0.6,2.22,4.09,7.33,3.95,3.13,1.8,,3.23,CTU,NR,180,Solar,LTA
ASERJ2PL_150MW,Energy Meteo,0.6,2.22,3.74,7.33,3.95,3.13,1.8,0.07,0.56,CTU,NR,150,Solar,LTA
AGE25L,Energy Meteo,2.6,4.77,10.7,17.5,11.39,2.89,0.57,0.07,1.89,CTU,NR,500,Solar,STOA
AGE24L_500MW_Bhimsar(ST),AGEL,0.21,0.85,2.39,3.69,4,1.19,0.3,0.06,1.47,CTU,NR,500,Solar,STOA
ASEJ6PL 35MW Khavda PSS 8 Hybrid,AGEL,,,,,21.22,11.57,6.47,9.56,5.4,CTU,WR,35,Hybrid,STOA
ASEAP7PL,Manikaran,4.89,11.65,8.22,14.08,9.53,13.76,9.61,6.82,6.17,CTU,SR,250,Solar,LTA
ASEKA9PL,RE Connect,1.07,11.36,14.1,17.49,10.42,12.01,12.32,8.53,2.89,CTU,SR,200,Solar,LTA
Pavagada,Energy Meteo,3.05,19.81,22.96,28.11,17.53,14.7,14.83,13.52,4.88,CTU,SR,150,Solar,LTA
AWEK1L,Manikaran,0.22,4.98,2.47,1.36,1.16,1.85,0.1,0.48,0.31,CTU,WR,555,Wind,LTA
AWEK4L,Manikaran,1.72,6.25,4.01,2.11,5.85,2.39,1.22,1.35,0.6,CTU,WR,300,Wind,LTA
AWEMP1PL,Enercast,13.71,22.04,10.21,4.31,4.61,7.33,5.69,4.73,3,CTU,WR,324,Wind,LTA
Inox W1RL,Manikaran,0.56,6.91,3.91,3.55,2.42,7.15,1.09,0.24,0.05,CTU,WR,50,Wind,LTA
Inox W3RL,Manikaran,0.6,7.39,4.16,2.97,2.93,5.56,0.73,0.21,0.01,CTU,WR,50,Wind,LTA
Inox W5RL,Manikaran,1.51,4.92,3.24,5.99,3.97,5.95,3.22,0.18,0.21,CTU,WR,50,Wind,LTA
AGE24L_100MW_PSS4 (ST),AGEL,24.13,31.1,1.32,1.43,3.28,0.86,0.44,0.27,1.65,CTU,WR,100,Wind,STOA
ARE41L_50MW_PSS4 (ST),AGEL,35.45,27.32,0.76,1.14,2.27,0.38,0.46,0.24,1.53,CTU,WR,50,Wind,STOA
AHEJ5L 60MW Khavda PSS4 Wind,AGEL,,19.99,1.05,1.15,1.95,0.45,0.45,0.2,1.15,CTU,WR,60,Wind,STOA
Khavda PSS 9,AGEL,0.52,3.64,4.24,2.06,3.48,1.8,0.32,0.8,0.2,CTU,WR,269.6,Wind,STOA
ARE41L_124.8MW_PSS13(ST),AGEL,21.32,34.17,1.66,1.34,1.27,0.49,0.74,0.51,1.16,CTU,WR,124.8,Wind,STOA
ARE41L_125MW_PSS8(ST),AGEL,,,,,,28.28,19.67,17.62,23.92,CTU,WR,125,Wind,STOA
Khavda PSS 3,AGEL,0.34,2.86,3.01,3.36,2.81,1.21,0.65,1.17,0.23,CTU,WR,1250,Hybrid,STOA
AHEJ5L 600MW Khavda PSS 5 - Hybrid,AGEL,14.03,19.27,10.37,12.57,10.61,8.09,0.69,1.49,0.23,CTU,WR,600,Hybrid,STOA
ARE3L 50 MW PSS 8 (ST),AGEL,,,,,33.4,33.44,20.58,14.2,14.3,CTU,WR,50,Hybrid,STOA
AHEJ1L 390MW,AGEL,0.21,1.63,2.05,4.88,3.12,2.4,0.82,0.25,2.63,CTU,NR,390,Hybrid,LTA
AHEJ2L 300MW,AGEL,0.25,3.02,3.46,6.14,3.92,2.87,1.98,0.45,2.28,CTU,NR,300,Hybrid,LTA
AHEJ3L 300MW,AGEL,0.42,3.84,2.87,6.71,4.25,3.96,1.84,0.71,2.68,CTU,NR,300,Hybrid,LTA
AHEJ4L 700MW,Manikaran,0.25,3.36,2.54,6.3,3.94,1.76,0.86,0.37,2.12,CTU,NR,700,Hybrid,LTA
ASEJOPL 450MW,AGEL,0.09,0.62,2.58,4,1.06,1.41,0.65,0.14,1.46,CTU,NR,450,Hybrid,LTA
DTPL 24.94MW TG,RE Connect,2.66,5.59,4.81,5.89,10.4,8.62,2.82,1.2,4.38,STU,SR,24.94,Solar,LTA
SSTPL 50MW TG,RE Connect,2.75,5.76,4.79,5.73,7.37,7.15,8.92,1.12,4.65,STU,SR,50,Solar,LTA
SRRPL 50MW TG,Manikaran,1.81,9.84,3.83,0,8.87,4.14,4.01,1.43,3.81,STU,SR,50,Solar,LTA
PSEPL-2 DCR 50MW TG,Manikaran,2.23,10.11,5.61,6.83,8.87,5.72,7.13,1.91,5.32,STU,SR,50,Solar,LTA
PSEPL-1 OCR 50MW TG,Manikaran,1.62,3.2,8.16,3.43,5.3,5.14,5.38,1.03,3.64,STU,SR,50,Solar,LTA
